person_id,person_trip_id,trip_list_id_num,trace,pf_iteration,pathnum,linkmode,trip_id_num,A_id_num,B_id_num,A_seq,B_seq,pf_A_time,pf_B_time,pf_linktime min,pf_linkfare,pf_linkcost,pf_linkdist,pf_waittime min,linknum,A_id,B_id,A_lat,A_lon,B_lat,B_lon,trip_id,route_id,mode_num,mode,split_first,chosen,bump_iter,board_state,alight_delay_min,new_A_time,new_B_time,new_linktime min,new_waittime min,missed_xfer,fare,fare_period,from_fare_period,transfer_fare_type,transfer_fare,free_transfer,distance,sim_cost,board_time,overcap,overcap_frac,alight_time,iteration,pathfinding_iteration
Tuffie,1,1,True,1.0100000000,0,access,,9,3,-1,-1,07:08:00,07:10:00,2.0000000000,0.0000000000,4.0000000000,0.1000000000,,0,O,E,,,35.7840890000,-78.6693540000,,,101.0000000000,walk_access,True,iter1.01 sim0,,,0.0000000000,07:08:00,07:10:00,2.0000000000,,0,0,,,,,,0.1000000000,4.0000000000,,,,,1,1
Tuffie,1,1,True,1.0100000000,0,transit,9.0000000000,3,4,1,2,07:10:00,07:22:00,12.0000000000,0.0000000000,12.0000000000,0.5711582271,0.0000000000,1,E,F,35.7840890000,-78.6693540000,35.7810900000,-78.6598590000,O1,Orange,301.0000000000,local_bus,True,iter1.01 sim0,,boarded,0.0000000000,07:10:00,07:22:00,12.0000000000,0.0000000000,0,0,,,,,,0.5711582271,12.0000000000,07:10:00,0.0000000000,0.0000000000,07:22:00,1,1
Tuffie,1,1,True,1.0100000000,0,egress,,4,10,-1,-1,07:22:00,07:32:00,10.0000000000,0.0000000000,20.0000000000,0.5000000000,,2,F,D,35.7810900000,-78.6598590000,,,,,201.0000000000,walk_egress,True,iter1.01 sim0,,,0.0000000000,07:22:00,07:32:00,10.0000000000,,0,0,,,,,,0.5000000000,20.0000000000,,,,,1,1
Rameses,1,2,False,1.0100000000,0,access,,9,3,-1,-1,07:08:00,07:10:00,2.0000000000,0.0000000000,4.0000000000,0.1000000000,,0,O,E,,,35.7840890000,-78.6693540000,,,101.0000000000,walk_access,True,iter1.01 sim0,,,0.0000000000,07:08:00,07:10:00,2.0000000000,,0,0,,,,,,0.1000000000,4.0000000000,,,,,1,1
Rameses,1,2,False,1.0100000000,0,transit,9.0000000000,3,4,1,2,07:10:00,07:22:00,12.0000000000,0.0000000000,12.0000000000,0.5711582271,0.0000000000,1,E,F,35.7840890000,-78.6693540000,35.7810900000,-78.6598590000,O1,Orange,301.0000000000,local_bus,True,iter1.01 sim0,,boarded,0.0000000000,07:10:00,07:22:00,12.0000000000,0.0000000000,0,0,,,,,,0.5711582271,12.0000000000,07:10:00,0.0000000000,0.0000000000,07:22:00,1,1
Rameses,1,2,False,1.0100000000,0,egress,,4,10,-1,-1,07:22:00,07:32:00,10.0000000000,0.0000000000,20.0000000000,0.5000000000,,2,F,D,35.7810900000,-78.6598590000,,,,,201.0000000000,walk_egress,True,iter1.01 sim0,,,0.0000000000,07:22:00,07:32:00,10.0000000000,,0,0,,,,,,0.5000000000,20.0000000000,,,,,1,1
Michael Jordan,1,3,False,1.0100000000,0,access,,9,3,-1,-1,07:08:00,07:10:00,2.0000000000,0.0000000000,4.0000000000,0.1000000000,,0,O,E,,,35.7840890000,-78.6693540000,,,101.0000000000,walk_access,True,iter1.01 sim0,,,0.0000000000,07:08:00,07:10:00,2.0000000000,,0,0,,,,,,0.1000000000,4.0000000000,,,,,1,1
Michael Jordan,1,3,False,1.0100000000,0,transit,9.0000000000,3,4,1,2,07:10:00,07:22:00,12.0000000000,0.0000000000,12.0000000000,0.5711582271,0.0000000000,1,E,F,35.7840890000,-78.6693540000,35.7810900000,-78.6598590000,O1,Orange,301.0000000000,local_bus,True,iter1.01 sim0,,boarded,0.0000000000,07:10:00,07:22:00,12.0000000000,0.0000000000,0,0,,,,,,0.5711582271,12.0000000000,07:10:00,0.0000000000,0.0000000000,07:22:00,1,1
Michael Jordan,1,3,False,1.0100000000,0,egress,,4,10,-1,-1,07:22:00,07:32:00,10.0000000000,0.0000000000,20.0000000000,0.5000000000,,2,F,D,35.7810900000,-78.6598590000,,,,,201.0000000000,walk_egress,True,iter1.01 sim0,,,0.0000000000,07:22:00,07:32:00,10.0000000000,,0,0,,,,,,0.5000000000,20.0000000000,,,,,1,1
Jerry Stackhouse,1,4,False,1.0100000000,0,access,,9,3,-1,-1,07:08:00,07:10:00,2.0000000000,0.0000000000,4.0000000000,0.1000000000,,0,O,E,,,35.7840890000,-78.6693540000,,,101.0000000000,walk_access,True,iter1.01 sim0,,,0.0000000000,07:08:00,07:10:00,2.0000000000,,0,0,,,,,,0.1000000000,4.0000000000,,,,,1,1
Jerry Stackhouse,1,4,False,1.0100000000,0,transit,9.0000000000,3,4,1,2,07:10:00,07:22:00,12.0000000000,0.0000000000,12.0000000000,0.5711582271,0.0000000000,1,E,F,35.7840890000,-78.6693540000,35.7810900000,-78.6598590000,O1,Orange,301.0000000000,local_bus,True,iter1.01 sim0,,boarded,0.0000000000,07:10:00,07:22:00,12.0000000000,0.0000000000,0,0,,,,,,0.5711582271,12.0000000000,07:10:00,0.0000000000,0.0000000000,07:22:00,1,1
Jerry Stackhouse,1,4,False,1.0100000000,0,egress,,4,10,-1,-1,07:22:00,07:32:00,10.0000000000,0.0000000000,20.0000000000,0.5000000000,,2,F,D,35.7810900000,-78.6598590000,,,,,201.0000000000,walk_egress,True,iter1.01 sim0,,,0.0000000000,07:22:00,07:32:00,10.0000000000,,0,0,,,,,,0.5000000000,20.0000000000,,,,,1,1
Dean Smith,1,5,False,1.0100000000,0,access,,9,3,-1,-1,07:08:00,07:10:00,2.0000000000,0.0000000000,4.0000000000,0.1000000000,,0,O,E,,,35.7840890000,-78.6693540000,,,101.0000000000,walk_access,True,iter1.01 sim0,,,0.0000000000,07:08:00,07:10:00,2.0000000000,,0,0,,,,,,0.1000000000,4.0000000000,,,,,1,1
Dean Smith,1,5,False,1.0100000000,0,transit,9.0000000000,3,4,1,2,07:10:00,07:22:00,12.0000000000,0.0000000000,12.0000000000,0.5711582271,0.0000000000,1,E,F,35.7840890000,-78.6693540000,35.7810900000,-78.6598590000,O1,Orange,301.0000000000,local_bus,True,iter1.01 sim0,,boarded,0.0000000000,07:10:00,07:22:00,12.0000000000,0.0000000000,0,0,,,,,,0.5711582271,12.0000000000,07:10:00,0.0000000000,0.0000000000,07:22:00,1,1
Dean Smith,1,5,False,1.0100000000,0,egress,,4,10,-1,-1,07:22:00,07:32:00,10.0000000000,0.0000000000,20.0000000000,0.5000000000,,2,F,D,35.7810900000,-78.6598590000,,,,,201.0000000000,walk_egress,True,iter1.01 sim0,,,0.0000000000,07:22:00,07:32:00,10.0000000000,,0,0,,,,,,0.5000000000,20.0000000000,,,,,1,1
Vince Carter,1,6,False,1.0100000000,0,access,,9,3,-1,-1,07:08:00,07:10:00,2.0000000000,0.0000000000,4.0000000000,0.1000000000,,0,O,E,,,35.7840890000,-78.6693540000,,,101.0000000000,walk_access,True,iter1.01 sim0,,,0.0000000000,07:08:00,07:10:00,2.0000000000,,0,0,,,,,,0.1000000000,4.0000000000,,,,,1,1
Vince Carter,1,6,False,1.0100000000,0,transit,9.0000000000,3,4,1,2,07:10:00,07:22:00,12.0000000000,0.0000000000,12.0000000000,0.5711582271,0.0000000000,1,E,F,35.7840890000,-78.6693540000,35.7810900000,-78.6598590000,O1,Orange,301.0000000000,local_bus,True,iter1.01 sim0,,boarded,0.0000000000,07:10:00,07:22:00,12.0000000000,0.0000000000,0,0,,,,,,0.5711582271,12.0000000000,07:10:00,0.0000000000,0.0000000000,07:22:00,1,1
Vince Carter,1,6,False,1.0100000000,0,egress,,4,10,-1,-1,07:22:00,07:32:00,10.0000000000,0.0000000000,20.0000000000,0.5000000000,,2,F,D,35.7810900000,-78.6598590000,,,,,201.0000000000,walk_egress,True,iter1.01 sim0,,,0.0000000000,07:22:00,07:32:00,10.0000000000,,0,0,,,,,,0.5000000000,20.0000000000,,,,,1,1
Antown Jamison,1,7,False,1.0100000000,0,access,,9,3,-1,-1,07:08:00,07:10:00,2.0000000000,0.0000000000,4.0000000000,0.1000000000,,0,O,E,,,35.7840890000,-78.6693540000,,,101.0000000000,walk_access,True,iter1.01 sim0,,,0.0000000000,07:08:00,07:10:00,2.0000000000,,0,0,,,,,,0.1000000000,4.0000000000,,,,,1,1
Antown Jamison,1,7,False,1.0100000000,0,transit,9.0000000000,3,4,1,2,07:10:00,07:22:00,12.0000000000,0.0000000000,12.0000000000,0.5711582271,0.0000000000,1,E,F,35.7840890000,-78.6693540000,35.7810900000,-78.6598590000,O1,Orange,301.0000000000,local_bus,True,iter1.01 sim0,,boarded,0.0000000000,07:10:00,07:22:00,12.0000000000,0.0000000000,0,0,,,,,,0.5711582271,12.0000000000,07:10:00,0.0000000000,0.0000000000,07:22:00,1,1
Antown Jamison,1,7,False,1.0100000000,0,egress,,4,10,-1,-1,07:22:00,07:32:00,10.0000000000,0.0000000000,20.0000000000,0.5000000000,,2,F,D,35.7810900000,-78.6598590000,,,,,201.0000000000,walk_egress,True,iter1.01 sim0,,,0.0000000000,07:22:00,07:32:00,10.0000000000,,0,0,,,,,,0.5000000000,20.0000000000,,,,,1,1
Serge Zwikker,1,8,False,1.0100000000,0,access,,9,3,-1,-1,07:08:00,07:10:00,2.0000000000,0.0000000000,4.0000000000,0.1000000000,,0,O,E,,,35.7840890000,-78.6693540000,,,101.0000000000,walk_access,True,iter1.01 sim0,,,0.0000000000,07:08:00,07:10:00,2.0000000000,,0,0,,,,,,0.1000000000,4.0000000000,,,,,1,1
Serge Zwikker,1,8,False,1.0100000000,0,transit,9.0000000000,3,4,1,2,07:10:00,07:22:00,12.0000000000,0.0000000000,12.0000000000,0.5711582271,0.0000000000,1,E,F,35.7840890000,-78.6693540000,35.7810900000,-78.6598590000,O1,Orange,301.0000000000,local_bus,True,iter1.01 sim0,,boarded,0.0000000000,07:10:00,07:22:00,12.0000000000,0.0000000000,0,0,,,,,,0.5711582271,12.0000000000,07:10:00,0.0000000000,0.0000000000,07:22:00,1,1
Serge Zwikker,1,8,False,1.0100000000,0,egress,,4,10,-1,-1,07:22:00,07:32:00,10.0000000000,0.0000000000,20.0000000000,0.5000000000,,2,F,D,35.7810900000,-78.6598590000,,,,,201.0000000000,walk_egress,True,iter1.01 sim0,,,0.0000000000,07:22:00,07:32:00,10.0000000000,,0,0,,,,,,0.5000000000,20.0000000000,,,,,1,1
Dante Calabria,1,9,False,1.0100000000,0,access,,9,3,-1,-1,07:08:00,07:10:00,2.0000000000,0.0000000000,4.0000000000,0.1000000000,,0,O,E,,,35.7840890000,-78.6693540000,,,101.0000000000,walk_access,True,iter1.01 sim0,,,0.0000000000,07:08:00,07:10:00,2.0000000000,,0,0,,,,,,0.1000000000,4.0000000000,,,,,1,1
Dante Calabria,1,9,False,1.0100000000,0,transit,9.0000000000,3,4,1,2,07:10:00,07:22:00,12.0000000000,0.0000000000,12.0000000000,0.5711582271,0.0000000000,1,E,F,35.7840890000,-78.6693540000,35.7810900000,-78.6598590000,O1,Orange,301.0000000000,local_bus,True,iter1.01 sim0,,boarded,0.0000000000,07:10:00,07:22:00,12.0000000000,0.0000000000,0,0,,,,,,0.5711582271,12.0000000000,07:10:00,0.0000000000,0.0000000000,07:22:00,1,1
