person_id,person_trip_id,trip_list_id_num,trace,pathdir,pathmode,pf_iteration,pathnum,pf_cost,pf_fare,pf_probability,pf_initcost,pf_initfare,description,chosen,bump_iter,missed_xfer,sim_cost,ln_PS,logsum_component,logsum,probability,iteration,pathfinding_iteration
Tuffie,1,1,True,2,transit,1.0100000000,0,36.0000000000,0.0000000000,1.0000000000,36.0000000000,0.0000000000,O walk_access E local_bus Orange_O1 F walk_egress D,iter1.01 sim0,,0,36.0000000000,0.0000000000,0.0000000152,0.0000000152,1.0000000000,1,1
Rameses,1,2,False,2,transit,1.0100000000,0,36.0000000000,0.0000000000,1.0000000000,36.0000000000,0.0000000000,O walk_access E local_bus Orange_O1 F walk_egress D,iter1.01 sim0,,0,36.0000000000,0.0000000000,0.0000000152,0.0000000152,1.0000000000,1,1
Michael Jordan,1,3,False,2,transit,1.0100000000,0,36.0000000000,0.0000000000,1.0000000000,36.0000000000,0.0000000000,O walk_access E local_bus Orange_O1 F walk_egress D,iter1.01 sim0,,0,36.0000000000,0.0000000000,0.0000000152,0.0000000152,1.0000000000,1,1
Jerry Stackhouse,1,4,False,2,transit,1.0100000000,0,36.0000000000,0.0000000000,1.0000000000,36.0000000000,0.0000000000,O walk_access E local_bus Orange_O1 F walk_egress D,iter1.01 sim0,,0,36.0000000000,0.0000000000,0.0000000152,0.0000000152,1.0000000000,1,1
Dean Smith,1,5,False,2,transit,1.0100000000,0,36.0000000000,0.0000000000,1.0000000000,36.0000000000,0.0000000000,O walk_access E local_bus Orange_O1 F walk_egress D,iter1.01 sim0,,0,36.0000000000,0.0000000000,0.0000000152,0.0000000152,1.0000000000,1,1
Vince Carter,1,6,False,2,transit,1.0100000000,0,36.0000000000,0.0000000000,1.0000000000,36.0000000000,0.0000000000,O walk_access E local_bus Orange_O1 F walk_egress D,iter1.01 sim0,,0,36.0000000000,0.0000000000,0.0000000152,0.0000000152,1.0000000000,1,1
Antown Jamison,1,7,False,2,transit,1.0100000000,0,36.0000000000,0.0000000000,1.0000000000,36.0000000000,0.0000000000,O walk_access E local_bus Orange_O1 F walk_egress D,iter1.01 sim0,,0,36.0000000000,0.0000000000,0.0000000152,0.0000000152,1.0000000000,1,1
Serge Zwikker,1,8,False,2,transit,1.0100000000,0,36.0000000000,0.0000000000,1.0000000000,36.0000000000,0.0000000000,O walk_access E local_bus Orange_O1 F walk_egress D,iter1.01 sim0,,0,36.0000000000,0.0000000000,0.0000000152,0.0000000152,1.0000000000,1,1
Dante Calabria,1,9,False,2,transit,1.0100000000,0,36.0000000000,0.0000000000,1.0000000000,36.0000000000,0.0000000000,O walk_access E local_bus Orange_O1 F walk_egress D,iter1.01 sim0,,0,36.0000000000,0.0000000000,0.0000000152,0.0000000152,1.0000000000,1,1
Shammond Williams,1,10,False,2,transit,1.0100000000,0,36.0000000000,0.0000000000,1.0000000000,36.0000000000,0.0000000000,O walk_access E local_bus Orange_O1 F walk_egress D,iter1.01 sim0,,0,36.0000000000,0.0000000000,0.0000000152,0.0000000152,1.0000000000,1,1
Tuffie,1,1,True,2,transit,1.0100000000,0,36.0000000000,0.0000000000,1.0000000000,36.0000000000,0.0000000000,O walk_access E local_bus Orange_O1 F walk_egress D,iter1.01 sim0,,0,36.0000000000,0.0000000000,0.0000000152,0.0000000152,1.0000000000,1,2
Rameses,1,2,False,2,transit,1.0100000000,0,36.0000000000,0.0000000000,1.0000000000,36.0000000000,0.0000000000,O walk_access E local_bus Orange_O1 F walk_egress D,iter1.01 sim0,,0,36.0000000000,0.0000000000,0.0000000152,0.0000000152,1.0000000000,1,2
Michael Jordan,1,3,False,2,transit,1.0100000000,0,36.0000000000,0.0000000000,1.0000000000,36.0000000000,0.0000000000,O walk_access E local_bus Orange_O1 F walk_egress D,iter1.01 sim0,,0,36.0000000000,0.0000000000,0.0000000152,0.0000000152,1.0000000000,1,2
Jerry Stackhouse,1,4,False,2,transit,1.0100000000,0,36.0000000000,0.0000000000,1.0000000000,36.0000000000,0.0000000000,O walk_access E local_bus Orange_O1 F walk_egress D,iter1.01 sim0,,0,36.0000000000,0.0000000000,0.0000000152,0.0000000152,1.0000000000,1,2
Dean Smith,1,5,False,2,transit,1.0100000000,0,36.0000000000,0.0000000000,1.0000000000,36.0000000000,0.0000000000,O walk_access E local_bus Orange_O1 F walk_egress D,iter1.01 sim0,,0,36.0000000000,0.0000000000,0.0000000152,0.0000000152,1.0000000000,1,2
Vince Carter,1,6,False,2,transit,1.0100000000,0,36.0000000000,0.0000000000,1.0000000000,36.0000000000,0.0000000000,O walk_access E local_bus Orange_O1 F walk_egress D,iter1.01 sim0,,0,36.0000000000,0.0000000000,0.0000000152,0.0000000152,1.0000000000,1,2
Antown Jamison,1,7,False,2,transit,1.0100000000,0,36.0000000000,0.0000000000,1.0000000000,36.0000000000,0.0000000000,O walk_access E local_bus Orange_O1 F walk_egress D,iter1.01 sim0,,0,36.0000000000,0.0000000000,0.0000000152,0.0000000152,1.0000000000,1,2
Serge Zwikker,1,8,False,2,transit,1.0100000000,0,36.0000000000,0.0000000000,1.0000000000,36.0000000000,0.0000000000,O walk_access E local_bus Orange_O1 F walk_egress D,iter1.01 sim0,,0,36.0000000000,0.0000000000,0.0000000152,0.0000000152,1.0000000000,1,2
Dante Calabria,1,9,False,2,transit,1.0100000000,0,36.0000000000,0.0000000000,1.0000000000,36.0000000000,0.0000000000,O walk_access E local_bus Orange_O1 F walk_egress D,iter1.01 sim0,,0,36.0000000000,0.0000000000,0.0000000152,0.0000000152,1.0000000000,1,2
